Geographical Description,Geographical Level,ONS Code,Measure Group Description,Disaggregation Level,Measure Value,IMD - Average rank ,Annual Pay Mean,Population,Year
Barking and Dagenham,Council,E09000002,Adjusted Social care-related quality of life – impact of Adult Social Care services,Total,0.43,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,Carer-reported quality of life score,18-64,7.5,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,Carer-reported quality of life score,65 and over,7.3,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,Carer-reported quality of life score,Female,7.5,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,Carer-reported quality of life score,Male,7.3,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,Carer-reported quality of life score,Total,7.4,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,"Delayed transfers of care from hospital that are attributable to adult social care, per 100,000 population",Total,0.4,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,"Delayed transfers of care from hospital that are jointly attributable to NHS and adult social care, per 100,000 population",Total,0.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,"Delayed transfers of care from hospital, per 100,000 population",Total,5.2,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,723.9,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,6.2,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of carers with social services,18-64,40.6,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of carers with social services,65 and over,38.5,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of carers with social services,Female,35.9,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of carers with social services,Male,50.0,25551.85,26651,72974.0,2019
